Reward,CuedOri,NonCuedOri,CuedHemi,Deviation
5,20,60,left,45
5,40,180,right,90
5,60,100,left,-90
5,80,40,right,-45
5,100,140,left,45
5,120,80,right,90
5,140,180,left,-90
5,160,120,right,-45
5,180,40,left,45
5,20,160,right,90
5,40,80,left,-90
5,60,20,right,-45
5,80,120,left,45
5,100,60,right,90
5,120,160,left,-90
5,140,100,right,-45
10,20,60,left,45
10,40,180,right,90
10,60,100,left,-90
10,80,40,right,-45
10,100,140,left,45
10,120,80,right,90
10,140,180,left,-90
10,160,120,right,-45
10,180,40,left,45
10,20,160,right,90
10,40,80,left,-90
10,60,20,right,-45
10,80,120,left,45
10,100,60,right,90
10,120,160,left,-90
10,140,100,right,-45
10,160,20,left,45
10,180,140,right,90
20,60,100,left,-90
20,80,40,right,-45
20,100,140,left,45
20,120,80,right,90
20,140,180,left,-90
20,160,120,right,-45
20,180,40,left,45
20,20,160,right,90
20,40,80,left,-90
20,60,20,right,-45
20,80,120,left,45
20,100,60,right,90
20,120,160,left,-90
20,140,100,right,-45
20,160,20,left,45
20,180,140,right,90
